# Title: Install Community Members,,,,,,,,,,,,,
# Description: This option configures the Member profiles and groups for the Reference site,,,,,,,,,,,,,
# The following lines are creating new groups,,,,,,,,,,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-members,./profile/givenName,Reference Community Members,aboutMe,Members for AEM Communities Reference demo site,createGroup,1,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-privileged-members,./profile/givenName,Reference Community Privileged Members,aboutMe,Privileged Members for AEM Communities Reference Demo Site,createGroup,1,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-managers,./profile/givenName,Reference Community Managers,aboutMe,Managers for AEM Communities Reference Demo Site,createGroup,1,,,,
SlingPost,/libs/granite/security/post/authorizables.html,authorizableId,reference-moderators,./profile/givenName,Reference Community Moderators,aboutMe,Moderators for AEM Communities Reference Demo Site,createGroup,1,,,,
# The following lines are creating new users,,,,,,,,,,,,,
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,aaron.mcdonald@mailinator.com,password,password,fname,Aaron,lname,McDonald,:operation,social:createTenantUser,aboutMe,I'm a Community Moderator for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,andrew.schaeffer@trashymail.com,password,password,fname,Andrew,lname,Schaeffer,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,ashley.thompson@spambob.com,password,password,fname,Ashley,lname,Thompson,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,boyd.larsen@dodgit.com,password,password,fname,Boyd,lname,Larsen,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,donna.billups@pookmail.com,password,password,fname,Donna,lname,Billups,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,emily.andrews@mailinator.com,password,password,fname,Emily,lname,Andrews,:operation,social:createTenantUser,aboutMe,I'm a Privileged Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,felicia.carter@trashymail.com,password,password,fname,Felicia,lname,Carter,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,james.devore@spambob.com,password,password,fname,James,lname,Devore,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,jason.werner@dodgit.com,password,password,fname,Jason,lname,Werner,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,josh.bradley@pookmail.com,password,password,fname,Josh,lname,Bradley,:operation,social:createTenantUser,aboutMe,I'm a Community Manager for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,rebekah.larsen@trashymail.com,password,password,fname,Rebekah,lname,Larsen,:operation,social:createTenantUser,aboutMe,I'm a Community Administrator for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,ryan.palmer@spambob.com,password,password,fname,Ryan,lname,Palmer,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
SlingPost,/content/sites/communities/en/signup/jcr:content/content/primary/signup.social.json,email,weston.mccall@dodgit.com,password,password,fname,Weston,lname,McCall,:operation,social:createTenantUser,aboutMe,I'm a Community Member for Reference Communities
Avatar,/content/sites/communities/en/profile/jcr:content/content/primary/userprofile.social.json,,,,,,,,,,,,
aaron.mcdonald@mailinator.com,0,not used,not used,avatar_aaron.jpg,,,,,,,,,
andrew.schaeffer@trashymail.com,0,not used,not used,avatar_andrew.jpg,,,,,,,,,
ashley.thompson@spambob.com,0,not used,not used,avatar_ashley.jpg,,,,,,,,,
